MEDDRA_LLT_CODE,MEDDRA_LLT,SNOMED_CT_CODE,SNOMED_CT_FSN
10002388,Angina unstable,4557003,Preinfarction syndrome (disorder)
10002391,Anginal pain,194828000,Angina (disorder)
10002394,Angio-edema,41291007,Angioedema (disorder)
10002424,Angioedema,41291007,Angioedema (disorder)
10002427,Angioedema of larynx,232437009,Angioneurotic edema of larynx (disorder)
10002471,Angioneurotic edema,41291007,Angioedema (disorder)
10002473,Angioneurotic oedema,41291007,Angioedema (disorder)
10002474,Angioneurotic oedema aggravated,41291007,Angioedema (disorder)
10002475,Angioplasty,418285008,Percutaneous transluminal angioplasty of blood vessel using imaging guidance with contrast (procedure)
10002476,Angiosarcoma,403977003,Angiosarcoma (disorder)
10002500,Angle closure glaucoma,392291006,Angle-closure glaucoma (disorder)
10002507,Anguish,48694002,Anxiety (finding)
10002511,Anhedonia,28669007,Anhedonia (finding)
10002542,Ankle edema,26237000,Ankle edema (finding)
10002544,Ankle fracture,16114001,Fracture of ankle (disorder)
10002545,Ankle injury,125603006,Injury of ankle (disorder)
10002546,Ankle oedema,26237000,Ankle edema (finding)
10002549,Ankle sprain,44465007,Sprain of ankle (disorder)
10002553,Ankle swelling,267039000,Swollen ankle (finding)
10002554,Ankles swelling,267039000,Swollen ankle (finding)
10002556,Ankylosing spondylitis,9631008,Ankylosing spondylitis (disorder)
10002646,Anorexia,64379006,Decrease in appetite (finding)
10002649,Anorexia nervosa,56882008,Anorexia nervosa (disorder)
10002653,Anosmia,44169009,Loss of sense of smell (finding)
10002709,Anterior uveitis,410692006,Anterior uveitis (disorder)
10002781,Antiemetic supportive care,386495004,Vomiting management (regime/therapy)
10002817,Antiphospholipid syndrome,26843008,Antiphospholipid syndrome (disorder)
10002847,Anuria,2472002,Anuria (finding)
10002855,Anxiety,48694002,Anxiety (finding)
10002856,Anxiety attack,300895004,Anxiety attack (finding)
10002858,Anxiety depression,231504006,Mixed anxiety and depressive disorder (disorder)
10002864,Anxiety neurosis,21897009,Generalized anxiety disorder (disorder)
10002866,Anxiety state,198288003,Anxiety state (finding)
10002867,"Anxiety state, unspecified",198288003,Anxiety state (finding)
10002873,Anxious depression,231504006,Mixed anxiety and depressive disorder (disorder)
10002875,Anxious mood,48694002,Anxiety (finding)
10002882,Aortic aneurysm,67362008,Aortic aneurysm (disorder)
10002885,Aortic aneurysm repair,233370007,Repair of aneurysm of aorta (procedure)
10002892,Aortic atherosclerosis,81817003,Atherosclerosis of aorta (disorder)
10002895,Aortic dissection,308546005,Dissection of aorta (disorder)
10002898,Aortic incompetence,60234000,Aortic valve regurgitation (disorder)
10002904,Aortic regurgitation,60234000,Aortic valve regurgitation (disorder)
10002905,Aortic sclerosis,67754003,Aortic valve sclerosis (disorder)
10002906,Aortic stenosis,60573004,Aortic valve stenosis (disorder)
10002915,Aortic valve incompetence,60234000,Aortic valve regurgitation (disorder)
10002916,Aortic valve replacement,26212005,Replacement of aortic valve (procedure)
10002918,Aortic valve stenosis,60573004,Aortic valve stenosis (disorder)
10002942,Apathy,20602000,Indifference (finding)
10002948,Aphasia,87486003,Aphasia (finding)
10002959,Aphthous ulcer,427617000,Aphthous ulceration of skin and/or mucous membrane (disorder)
10002962,Aplasia bone marrow,303266002,Aplastic bone marrow (disorder)
10002965,Aplasia pure red cell,50715003,Pure red cell aplasia (disorder)
10002966,"Aplasia, pure red cell",50715003,Pure red cell aplasia (disorder)
10002967,Aplastic anaemia,306058006,Aplastic anemia (disorder)
10002968,"Aplastic anaemia, unspecified",306058006,Aplastic anemia (disorder)
10002969,Aplastic anemia,306058006,Aplastic anemia (disorder)
10002970,"Aplastic anemia, unspecified",306058006,Aplastic anemia (disorder)
10002971,Aplastic marrow,303266002,Aplastic bone marrow (disorder)
10002972,Apnea,1023001,Apnea (finding)
10002974,Apnoea,1023001,Apnea (finding)
10003004,Apoplexy,230690007,Cerebrovascular accident (disorder)
10003008,Appendectomy,80146002,Excision of appendix (procedure)
10003010,Appendicectomy,80146002,Excision of appendix (procedure)
10003011,Appendicitis,74400008,Appendicitis (disorder)
10003017,Appetite absent,79890006,Loss of appetite (finding)
10003020,Appetite decreased NOS,64379006,Decrease in appetite (finding)
10003025,Appetite impaired,64379006,Decrease in appetite (finding)
10003028,Appetite lost,79890006,Loss of appetite (finding)
10003041,Application site erythema,863892004,Application site erythema (disorder)
10003046,Application site irritation,95366000,Application site irritation (disorder)
10003047,Application site itching,863889003,Application site itching (disorder)
10003051,Application site pain,95367009,Application site pain (finding)
10003054,Application site rash,95371007,Application site rash (disorder)
10003055,Application site reaction,95365001,Application site reaction (disorder)
10003058,Application site redness,863892004,Application site erythema (disorder)
10003083,ARDS,67782005,Acute respiratory distress syndrome (disorder)
10003096,Arm amputation,400136002,Amputation of upper limb (procedure)
10003119,Arrhythmia,698247007,Cardiac arrhythmia (disorder)
10003121,Arrhythmia atrial,17366009,Atrial arrhythmia (disorder)
10003123,Arrhythmia cardiac (NOS),698247007,Cardiac arrhythmia (disorder)
10003127,Arrhythmia NOS,698247007,Cardiac arrhythmia (disorder)
10003130,Arrhythmia supraventricular,72654001,Supraventricular arrhythmia (disorder)
10003168,Arterial pressure high,24184005,Increased blood pressure (finding)
10003178,Arterial thrombosis,65198009,Arterial thrombosis (disorder)
10003193,Arteriovenous malformation,24551003,Arteriovenous malformation (morphologic abnormality)
10003208,Arteriopathic disease,39823006,Generalized atherosclerosis (disorder)
10003209,Arteriopathy,39823006,Generalized atherosclerosis (disorder)
10003210,Arteriosclerosis,28960008,Arteriosclerosis (morphologic abnormality)
10003211,Arteriosclerosis coronary artery,53741008,Coronary arteriosclerosis (disorder)
10003226,Arteriovenous fistula,439470001,Arteriovenous fistula (disorder)
10003230,Arteritis,52089001,Arteritis (disorder)
10003239,Arthralgia,57676002,Pain of joint (finding)
10003240,Arthralgia aggravated,57676002,Pain of joint (finding)
10003244,Arthritic pains,1137438000,Pain due to arthritis (finding)
10003246,Arthritis,3723001,Arthritis (disorder)
10003247,Arthritis aggravated,3723001,Arthritis (disorder)
10003263,Arthritis NOS,3723001,Arthritis (disorder)
10003268,Arthritis rheumatoid,69896004,Rheumatoid arthritis (disorder)
10003285,Arthropathy,399269003,Arthropathy (disorder)
10003377,Arthropathy psoriatic,156370009,Psoriatic arthritis (disorder)
10003397,Arthroplasty of hip,47458005,Repair of hip joint (procedure)
10003398,Arthroplasty of knee,19063003,Arthroplasty of knee (procedure)
10003416,Arthrosis,399269003,Arthropathy (disorder)
10003417,Arthrosis multiple,268054009,Osteoarthritis of multiple joints (disorder)
10003441,Asbestosis,22607003,Asbestosis (disorder)
10003445,Ascites,389026000,Ascites (disorder)
10003458,Aseptic meningitis,301770000,Aseptic meningitis (disorder)
10003480,Aspartate aminotransferase increase,160931000119108,Aspartate transaminase level above reference range (finding)
10003481,Aspartate aminotransferase increased,160931000119108,Aspartate transaminase level above reference range (finding)
10003485,Asperger's syndrome,23560001,Asperger's disorder (disorder)
10003487,Aspergilloma,10446001,Aspergilloma (disorder)
10003488,Aspergillosis,65553006,Aspergillosis (disorder)
10003494,Aspergillus fumigatus infection,63764008,Infection caused by Aspergillus fumigatus (disorder)
10003497,Asphyxia,66466001,Asphyxiation (event)
10003504,Aspiration,413585005,Aspiration into respiratory tract (finding)
10003525,Aspiration pneumonia,422588002,Aspiration pneumonia (disorder)
10003537,Assault,52684005,Assault (event)
10003539,Assisted fertilisation,63487001,Assisted fertilization (procedure)
10003540,Assisted fertilization,63487001,Assisted fertilization (procedure)
