PROJECT_CODE,PROJECT_CATEGORY,PROJECT_ORGANIZATION,PROJECT_NAME,PROJECT_DESCRIPTION,PROJECT_STATUS,PROJECT_PHASE,PROJECT_PRIORITY,PROJECT_INNOVATION_STATUS,PROJECT_RESEARCH_DEVELOPMENT_LINK,PROJECT_SANOFI_THERAPEUTIC_AREA,ASSET_INN,ASSET_BRAND_NAME,ASSET_MECHANISM_OF_ACTION,ASSET_MOA_SHORT_NAME,ASSET_ACTIVE_SUBSTANCE_TYPE,ASSET_ACTIVE_SUBSTANCE_SUBTYPE,ASSET_ORIGIN_OF_ACTIVE_SUBSTANCE,ASSET_PHARMACOLOGICAL_EFFECT,INDICATION_UNIQUE_CODE,INDICATION_LEAD_FLAG,INDICATION_LONGNAME,INDICATION_SHORTNAME,INDICATION_PHASE,INDICATION_CODE_MEDDRA,INDICATION_NAME_MEDDRA,INDICATION_STATUS,INDICATION_SANOFI_THERAPEUTIC_AREA,INDICATION_SANOFI_SUB_THERAPEUTIC_AREA_FRANCHISE,INDICATION_PTRS
HOE901,Development,PHARMA,Lantus/Toujeo,HOE901 - Insulin glargine,Completed,LCM,Standard,LCM project,,,,Lantus/Toujeo,Insulin glargine,Insulin glargine,Biologics,INS,Internal,Mimetism,HOE901_IND015,FALSE,Lantus - T1DM - U100 - Pediatric - China,,LCM,10067584,Type 1 diabetes mellitus,Completed,DCVM,,1
SAR441344,Development,PHARMA,frexalimab,SAR441344 - CD40L mAb,Ongoing,Phase 3,High,BiC,XC01129,XC01129,frexalimab,,CD40L mAb,CD40L,Biologics,ANT,Internal,Antagonism,SAR441344_IND008,FALSE,Non-Relapsing Secondary Progressive Multiple Sclerosis,nr-SPMS,Phase 3,10063400,Secondary progressive multiple sclerosis,Ongoing,Neurology,Neuro-inflammation,0.34
XRP6976,Development,PHARMA,Taxotere,XRP6976 - Tubulin  inh.,Completed,LCM,Standard,LCM project,,,docetaxel,Taxotere,Tubulin  inh.,Tubulin,Synthetic,SM,Licensed,Inhibition,XRP6976_IND007,FALSE,One Vial - 20mg/80mg,,LCM,10065252,Solid tumor,Completed,Oncology,,1
SAR444671,Development,PHARMA,Wayrilz,SAR444671 - BTK sm,Ongoing,LCM,Medium,FiC,,,rilzabrutinib,Wayrilz,BTK sm,BTK,Synthetic,SM,Acquired,Inhibition,SAR444671_IND003,FALSE,IgG4 Related Disease,IgG4-RD,Phase 3,10077271,Immunoglobulin G4 related disease,Ongoing,Immuno-inflammation,Rheumatology,0.82
HOE901,Development,PHARMA,Lantus/Toujeo,HOE901 - Insulin glargine,Completed,LCM,Standard,LCM project,,,,Lantus/Toujeo,Insulin glargine,Insulin glargine,Biologics,INS,Internal,Mimetism,HOE901_IND005,FALSE,Lantus Initial Filing,,LCM,10012594,Diabetes,Completed,DCVM,,1
LC81688,Research,PHARMA,ST2 x TSLP Nanobody VHH (LC81688),LC81688 - ST2 x TSLP Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,ST2 x TSLP Nanobody VHH,ST2xTSLP,Biologics,NBDY,Internal,Antagonism,LC81688_IND004,,Chronic Rhinosinusitis with Nasal Polyps,CRSwNP,,10080060,Chronic rhinosinusitis with nasal polyps,Ongoing,,,
SAR446597,Development,PHARMA,Bbx aC1s Ab AAV,SAR446597 - Factor Bb x aC1s Ab AAV,Ongoing,Phase 1,GO,BiC,LC81342,LC81342,,,Factor Bb x aC1s Ab AAV,Bbx aC1s Ab AAV,Biologics,AAV GT,Internal,Inhibition,SAR446597_IND001,TRUE,Age-related macular degeneration - Geographic Atrophy,AMD – Geo atrophy,Phase 1,10063947,Geographic atrophy,Ongoing,Ophthalmology,Neurodegenerative diseases,0.23
XC01159,Research,PHARMA,IL17A sm (XC01159),XC01159 - IL17A sm,Completed,M1-M2,High Priority,BiC,SAR447432,SAR447432,,,IL17A sm,IL17A,Synthetic,SM,Licensed,Antagonism,XC01159_IND003,,Psoriasis Arthritis,PsA,,10037162,Psoriatic arthropathy,Completed,,,
LC81661,Research,PHARMA,IL1R3 x TL1A mAb (LC81661),LC81661 - IL1R3 x TL1A mAb,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL1R3 x TL1A mAb,IL1R3xTL1A,Biologics,ANT,Internal,Antagonism,LC81661_IND004,,,Fibrosis,,10019668,Hepatic fibrosis,Ongoing,,,
GZ393590,Development,PHARMA,Clolar/Evoltra,GZ393590 - Purine nucleoside analog,Completed,LCM,Standard,LCM project,,,clofarabine,Clolar/Evoltra,Purine nucleoside analog,Purine nucleoside,Synthetic,SM,Acquired,Mimetism,GZ393590_IND004,FALSE,NHL - Myelodysplastic Syndrome - PO rout,,,10028533,Myelodysplastic syndrome,Stopped,Oncology,,
